Metric                 Value
---------------------  -----
startingCapital        99   
finalCapital           127  
profit                 28   
profitPct              29   
growth                 1    
totalTrades            9    
barCount               16   
maxDrawdown            -6   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           4    
proportionProfitable   0    
percentProfitable      44   
returnOnAccount        5    
averageProfitPerTrade  3    
numWinningTrades       4    
numLosingTrades        5    
averageWinningTrade    7    
averageLosingTrade     -1   
expectedValue          3    
