Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           132  
profit                 32   
profitPct              32   
growth                 1    
totalTrades            8    
barCount               28   
maxDrawdown            -3   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           13   
proportionProfitable   1    
percentProfitable      88   
returnOnAccount        16   
averageProfitPerTrade  4    
numWinningTrades       7    
numLosingTrades        1    
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          2    
