Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           149  
profit                 49   
profitPct              49   
growth                 1    
totalTrades            9    
barCount               41   
maxDrawdown            -2   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           25   
proportionProfitable   1    
percentProfitable      89   
returnOnAccount        25   
averageProfitPerTrade  5    
numWinningTrades       8    
numLosingTrades        1    
averageWinningTrade    6    
averageLosingTrade     -2   
expectedValue          5    
