Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           131  
profit                 31   
profitPct              31   
growth                 1    
totalTrades            10   
barCount               11   
maxDrawdown            -7   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        4    
systemQuality          0    
profitFactor           4    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        5    
averageProfitPerTrade  3    
numWinningTrades       5    
numLosingTrades        5    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          1    
