Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           130  
profit                 30   
profitPct              30   
growth                 1    
totalTrades            13   
barCount               35   
maxDrawdown            -9   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      46   
returnOnAccount        5    
averageProfitPerTrade  2    
numWinningTrades       6    
numLosingTrades        7    
averageWinningTrade    14   
averageLosingTrade     -5   
expectedValue          4    
