Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           117  
profit                 17   
profitPct              17   
growth                 1    
totalTrades            10   
barCount               19   
maxDrawdown            -4   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        4    
averageProfitPerTrade  2    
numWinningTrades       5    
numLosingTrades        5    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
