Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           170  
profit                 70   
profitPct              70   
growth                 2    
totalTrades            10   
barCount               11   
maxDrawdown            -6   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        4    
systemQuality          1    
profitFactor           8    
proportionProfitable   1    
percentProfitable      60   
returnOnAccount        18   
averageProfitPerTrade  7    
numWinningTrades       6    
numLosingTrades        4    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
