direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2020/08/12,6.87,2020/08/13,6.7326,-0.1374000000000004,-2.0000000000000058,0.98,2.0000000000000058,,-1,0,stop-loss,6.7326,,
long,2020/10/05,6.39,2020/10/06,6.2622,-0.1277999999999997,-1.9999999999999951,0.9800000000000001,1.9999999999999951,,-1,0,stop-loss,6.2622,,
long,2020/10/08,6.36,2020/10/12,6.92,0.5599999999999996,8.805031446540875,1.0880503144654088,2.000000000000003,,4.40251572327043,1,exit-rule,6.2328,,
long,2020/10/15,6.7,2020/10/19,7.39,0.6899999999999995,10.29850746268656,1.1029850746268657,2.000000000000005,,5.149253731343267,1,exit-rule,6.566,,
long,2020/10/21,7.28,2020/10/23,7.93,0.6499999999999995,8.92857142857142,1.0892857142857142,1.9999999999999993,,4.464285714285712,1,exit-rule,7.1344,,
long,2020/11/04,7.69,2020/11/09,9.35,1.6599999999999993,21.586475942782823,1.2158647594278282,2.000000000000005,,10.793237971391386,2,exit-rule,7.5362,,
long,2020/11/11,9.11,2020/11/12,8.9278,-0.18219999999999992,-1.9999999999999993,0.98,1.9999999999999993,,-1,0,stop-loss,8.9278,,
long,2020/11/16,9.61,2020/11/17,9.4178,-0.1921999999999997,-1.999999999999997,0.98,1.999999999999997,,-1,0,stop-loss,9.4178,,
long,2020/11/19,9.62,2020/11/25,10.53,0.9100000000000001,9.459459459459461,1.0945945945945945,1.9999999999999925,,4.729729729729749,3,exit-rule,9.4276,,
long,2020/12/03,10.4,2020/12/09,11,0.5999999999999996,5.769230769230766,1.0576923076923077,2.0000000000000018,,2.88461538461538,3,exit-rule,10.192,,
