Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           129  
profit                 29   
profitPct              29   
growth                 1    
totalTrades            8    
barCount               22   
maxDrawdown            -4   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             2    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           6    
proportionProfitable   1    
percentProfitable      63   
returnOnAccount        7    
averageProfitPerTrade  4    
numWinningTrades       5    
numLosingTrades        3    
averageWinningTrade    2    
averageLosingTrade     -1   
expectedValue          1    
