Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           108  
profit                 8    
profitPct              8    
growth                 1    
totalTrades            10   
barCount               15   
maxDrawdown            -8   
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      20   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       2    
numLosingTrades        8    
averageWinningTrade    4    
averageLosingTrade     -1   
expectedValue          0    
