Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           134  
profit                 34   
profitPct              34   
growth                 1    
totalTrades            5    
barCount               9    
maxDrawdown            -2   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             3    
rmultipleStdDev        3    
systemQuality          1    
profitFactor           22   
proportionProfitable   1    
percentProfitable      80   
returnOnAccount        17   
averageProfitPerTrade  7    
numWinningTrades       4    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
