Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           116  
profit                 16   
profitPct              16   
growth                 1    
totalTrades            7    
barCount               27   
maxDrawdown            -2   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           5    
proportionProfitable   1    
percentProfitable      71   
returnOnAccount        8    
averageProfitPerTrade  2    
numWinningTrades       5    
numLosingTrades        2    
averageWinningTrade    6    
averageLosingTrade     -3   
expectedValue          4    
