Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           109     
profit                 9       
profitPct              9       
growth                 1       
totalTrades            5       
barCount               40      
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             2       
expectency             1       
rmultipleStdDev        0       
systemQuality          2       
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  2       
numWinningTrades       5       
numLosingTrades        0       
averageWinningTrade    4       
averageLosingTrade     0       
expectedValue          4       
