Metric                 Value
---------------------  -----
startingCapital        137  
finalCapital           137  
profit                 0    
profitPct              0    
growth                 1    
totalTrades            4    
barCount               1    
maxDrawdown            -6   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      25   
returnOnAccount        0    
averageProfitPerTrade  0    
numWinningTrades       1    
numLosingTrades        3    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
