Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           120  
profit                 20   
profitPct              20   
growth                 1    
totalTrades            14   
barCount               11   
maxDrawdown            -6   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      36   
returnOnAccount        3    
averageProfitPerTrade  1    
numWinningTrades       5    
numLosingTrades        9    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
