direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2020/07/16,11.85,2020/07/17,11.613,-0.2370000000000001,-2.000000000000001,0.98,2.000000000000001,,-1,0,stop-loss,11.613,,
long,2020/08/11,12.59,2020/08/13,12.3382,-0.25179999999999936,-1.999999999999995,0.9800000000000001,1.999999999999995,,-1,1,stop-loss,12.3382,,
long,2020/09/02,12.76,2020/09/03,12.5048,-0.2552000000000003,-2.0000000000000027,0.98,2.0000000000000027,,-1,0,stop-loss,12.5048,,
long,2020/09/16,12.82,2020/09/18,13.62,0.7999999999999989,6.240249609984391,1.062402496099844,1.9999999999999944,,3.120124804992204,1,exit-rule,12.563600000000001,,
long,2020/10/02,13.36,2020/10/06,14.09,0.7300000000000004,5.464071856287429,1.0546407185628743,2.0000000000000058,,2.732035928143706,1,exit-rule,13.092799999999999,,
long,2020/10/08,14.45,2020/10/12,14.161,-0.2889999999999997,-1.999999999999998,0.98,1.999999999999998,,-1,1,stop-loss,14.161,,
long,2020/10/23,14.76,2020/10/26,14.4648,-0.29519999999999946,-1.9999999999999962,0.98,1.9999999999999962,,-1,0,stop-loss,14.4648,,
long,2020/11/06,15,2020/11/10,16.03,1.0300000000000011,6.866666666666673,1.0686666666666667,2.000000000000005,,3.433333333333329,1,exit-rule,14.7,,
long,2020/11/16,16.74,2020/11/17,16.405199999999997,-0.3348000000000013,-2.000000000000008,0.9799999999999999,2.000000000000008,,-1,0,stop-loss,16.405199999999997,,
long,2020/11/27,18.33,2020/12/02,19.42,1.0900000000000034,5.946535733769796,1.059465357337698,1.9999999999999907,,2.9732678668849117,2,exit-rule,17.9634,,
long,2020/12/04,20.89,2020/12/08,20.4722,-0.4177999999999997,-1.9999999999999987,0.98,1.9999999999999987,,-1,1,stop-loss,20.4722,,
long,2020/12/11,20.85,2020/12/16,23.45,2.599999999999998,12.470023980815338,1.1247002398081534,2.000000000000007,,6.235011990407645,2,exit-rule,20.433,,
long,2020/12/18,23.5,2020/12/21,23.03,-0.46999999999999886,-1.9999999999999951,0.9800000000000001,1.9999999999999951,,-1,0,stop-loss,23.03,,
long,2020/12/23,23.4,2020/12/24,23.15,-0.25,-1.0683760683760684,0.9893162393162394,2,,-0.5341880341880342,1,finalize,22.932,,
