Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           109  
profit                 9    
profitPct              9    
growth                 1    
totalTrades            10   
barCount               11   
maxDrawdown            -14  
maxDrawdownPct         -12  
maxRiskPct             2    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      30   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       3    
numLosingTrades        7    
averageWinningTrade    33   
averageLosingTrade     -10  
expectedValue          3    
