Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           428  
profit                 328  
profitPct              328  
growth                 4    
totalTrades            8    
barCount               6    
maxDrawdown            -9   
maxDrawdownPct         -2   
maxRiskPct             2    
expectency             11   
rmultipleStdDev        12   
systemQuality          1    
profitFactor           17   
proportionProfitable   1    
percentProfitable      75   
returnOnAccount        164  
averageProfitPerTrade  41   
numWinningTrades       6    
numLosingTrades        2    
averageWinningTrade    9    
averageLosingTrade     -1   
expectedValue          6    
