Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           121  
profit                 21   
profitPct              21   
growth                 1    
totalTrades            11   
barCount               9    
maxDrawdown            -8   
maxDrawdownPct         -8   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           3    
proportionProfitable   0    
percentProfitable      36   
returnOnAccount        3    
averageProfitPerTrade  2    
numWinningTrades       4    
numLosingTrades        7    
averageWinningTrade    5    
averageLosingTrade     -1   
expectedValue          1    
