Metric                 Value
---------------------  -----
startingCapital        137  
finalCapital           136  
profit                 -1   
profitPct              -1   
growth                 1    
totalTrades            5    
barCount               7    
maxDrawdown            -6   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      20   
returnOnAccount        0    
averageProfitPerTrade  0    
numWinningTrades       1    
numLosingTrades        4    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
