direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2020/07/16,152.72,2020/07/17,149.6656,-3.054399999999987,-1.9999999999999913,0.9800000000000001,1.9999999999999913,,-1,0,stop-loss,149.6656,,
long,2020/08/05,164.85,2020/08/06,161.553,-3.296999999999997,-1.9999999999999982,0.98,1.9999999999999982,,-1,0,stop-loss,161.553,,
long,2020/08/31,172.51,2020/09/03,169.0598,-3.4501999999999953,-1.9999999999999973,0.98,1.9999999999999973,,-1,2,stop-loss,169.0598,,
long,2020/09/22,187.38,2020/09/24,183.6324,-3.7476000000000056,-2.000000000000003,0.98,2.000000000000003,,-1,1,stop-loss,183.6324,,
long,2020/09/28,185,2020/10/02,195.37,10.370000000000005,5.605405405405408,1.0560540540540542,1.9999999999999938,,2.8027027027027125,3,exit-rule,181.3,,
long,2020/10/06,203.76,2020/10/09,226.05,22.29000000000002,10.939340400471153,1.1093934040047115,1.9999999999999976,,5.469670200235583,2,exit-rule,199.6848,,
long,2020/10/14,237.35,2020/10/15,232.603,-4.746999999999986,-1.9999999999999942,0.9800000000000001,1.9999999999999942,,-1,0,stop-loss,232.603,,
long,2020/11/09,231.5591,2020/11/10,226.927918,-4.6311819999999955,-1.999999999999998,0.98,1.999999999999998,,-1,0,stop-loss,226.927918,,
long,2020/11/20,257.09,2020/11/24,279.5,22.410000000000025,8.716791784978033,1.0871679178497804,1.9999999999999958,,4.358395892489026,1,exit-rule,251.94819999999999,,
long,2020/11/27,279.7,2020/12/02,274.106,-5.593999999999994,-1.999999999999998,0.98,1.999999999999998,,-1,2,stop-loss,274.106,,
long,2020/12/04,290.19,2020/12/09,315.11,24.920000000000016,8.58747717012992,1.0858747717012993,2.0000000000000084,,4.2937385850649425,2,exit-rule,284.3862,,
long,2020/12/11,321,2020/12/21,344,23,7.165109034267912,1.071651090342679,2.000000000000005,,3.5825545171339477,5,exit-rule,314.58,,
long,2020/12/23,355,2020/12/24,356.99,1.990000000000009,0.5605633802816927,1.005605633802817,2.000000000000006,,0.2802816901408455,1,finalize,347.9,,
