Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           109  
profit                 9    
profitPct              9    
growth                 1    
totalTrades            8    
barCount               34   
maxDrawdown            -4   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      63   
returnOnAccount        2    
averageProfitPerTrade  1    
numWinningTrades       5    
numLosingTrades        3    
averageWinningTrade    10   
averageLosingTrade     -7   
expectedValue          4    
