Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           105  
profit                 5    
profitPct              5    
growth                 1    
totalTrades            6    
barCount               11   
maxDrawdown            -4   
maxDrawdownPct         -4   
maxRiskPct             2    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       3    
numLosingTrades        3    
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          0    
