Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           114  
profit                 14   
profitPct              14   
growth                 1    
totalTrades            9    
barCount               22   
maxDrawdown            -7   
maxDrawdownPct         -6   
maxRiskPct             2    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      56   
returnOnAccount        2    
averageProfitPerTrade  2    
numWinningTrades       5    
numLosingTrades        4    
averageWinningTrade    7    
averageLosingTrade     -3   
expectedValue          2    
