Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           168     
profit                 68      
profitPct              68      
growth                 2       
totalTrades            1       
barCount               165     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             NaN     
expectency             NaN     
rmultipleStdDev        NaN     
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  68      
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    202     
averageLosingTrade     0       
expectedValue          202     
