Metric                 Value
---------------------  -----
startingCapital        526  
finalCapital           404  
profit                 -122 
profitPct              -23  
growth                 1    
totalTrades            1    
barCount               57   
maxDrawdown            -122 
maxDrawdownPct         -23  
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -122 
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -67  
expectedValue          -67  
