Metric                 Value   
---------------------  --------
startingCapital        625     
finalCapital           2825    
profit                 2200    
profitPct              352     
growth                 5       
totalTrades            1       
barCount               247     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             NaN     
expectency             NaN     
rmultipleStdDev        NaN     
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  2200    
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    172     
averageLosingTrade     0       
expectedValue          172     
