Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           129     
profit                 29      
profitPct              29      
growth                 1       
totalTrades            1       
barCount               247     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             NaN     
expectency             NaN     
rmultipleStdDev        NaN     
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  29      
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    60      
averageLosingTrade     0       
expectedValue          60      
