Metric                 Value   
---------------------  --------
startingCapital        625     
finalCapital           3683    
profit                 3058    
profitPct              489     
growth                 6       
totalTrades            1       
barCount               247     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             NaN     
expectency             NaN     
rmultipleStdDev        NaN     
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  3058    
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    53      
averageLosingTrade     0       
expectedValue          53      
