Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           115  
profit                 -385 
profitPct              -77  
growth                 0    
totalTrades            1    
barCount               81   
maxDrawdown            -385 
maxDrawdownPct         -77  
maxRiskPct             NaN  
expectency             NaN  
rmultipleStdDev        NaN  
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -385 
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     -1   
expectedValue          -1   
