Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           470     
profit                 370     
profitPct              370     
growth                 5       
totalTrades            1       
barCount               247     
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             NaN     
expectency             NaN     
rmultipleStdDev        NaN     
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  370     
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    36      
averageLosingTrade     0       
expectedValue          36      
