Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           589  
profit                 89   
profitPct              18   
growth                 1    
totalTrades            3    
barCount               26   
maxDrawdown            -25  
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          1    
profitFactor           5    
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        4    
averageProfitPerTrade  30   
numWinningTrades       2    
numLosingTrades        1    
averageWinningTrade    5    
averageLosingTrade     -2   
expectedValue          3    
