Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           113  
profit                 13   
profitPct              13   
growth                 1    
totalTrades            4    
barCount               41   
maxDrawdown            -10  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           4    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        1    
averageProfitPerTrade  3    
numWinningTrades       2    
numLosingTrades        2    
averageWinningTrade    350  
averageLosingTrade     -91  
expectedValue          130  
