Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           714  
profit                 -1   
profitPct              0    
growth                 1    
totalTrades            1    
barCount               50   
maxDrawdown            -1   
maxDrawdownPct         0    
maxRiskPct             5    
expectency             0    
rmultipleStdDev        0    
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -1   
numWinningTrades       0    
numLosingTrades        1    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
