Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           91   
profit                 -9   
profitPct              -9   
growth                 1    
totalTrades            8    
barCount               66   
maxDrawdown            -26  
maxDrawdownPct         -26  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      25   
returnOnAccount        0    
averageProfitPerTrade  -1   
numWinningTrades       2    
numLosingTrades        6    
averageWinningTrade    14   
averageLosingTrade     -6   
expectedValue          -1   
