Metric                 Value
---------------------  -----
startingCapital        5000 
finalCapital           6600 
profit                 1600 
profitPct              32   
growth                 1    
totalTrades            10   
barCount               68   
maxDrawdown            -1092
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      30   
returnOnAccount        2    
averageProfitPerTrade  160  
numWinningTrades       3    
numLosingTrades        7    
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
