Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           119  
profit                 19   
profitPct              19   
growth                 1    
totalTrades            5    
barCount               16   
maxDrawdown            -10  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           5    
proportionProfitable   0    
percentProfitable      40   
returnOnAccount        2    
averageProfitPerTrade  4    
numWinningTrades       2    
numLosingTrades        3    
averageWinningTrade    13   
averageLosingTrade     -2   
expectedValue          4    
