Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           145  
profit                 45   
profitPct              45   
growth                 1    
totalTrades            8    
barCount               42   
maxDrawdown            -42  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             2    
rmultipleStdDev        8    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      13   
returnOnAccount        2    
averageProfitPerTrade  6    
numWinningTrades       1    
numLosingTrades        7    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
