Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           298  
profit                 198  
profitPct              198  
growth                 3    
totalTrades            13   
barCount               38   
maxDrawdown            -26  
maxDrawdownPct         -26  
maxRiskPct             5    
expectency             2    
rmultipleStdDev        5    
systemQuality          0    
profitFactor           4    
proportionProfitable   0    
percentProfitable      31   
returnOnAccount        7    
averageProfitPerTrade  15   
numWinningTrades       4    
numLosingTrades        9    
averageWinningTrade    2    
averageLosingTrade     0    
expectedValue          1    
