Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           155  
profit                 55   
profitPct              55   
growth                 2    
totalTrades            3    
barCount               21   
maxDrawdown            -6   
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             4    
rmultipleStdDev        5    
systemQuality          1    
profitFactor           12   
proportionProfitable   1    
percentProfitable      67   
returnOnAccount        11   
averageProfitPerTrade  18   
numWinningTrades       2    
numLosingTrades        1    
averageWinningTrade    3    
averageLosingTrade     -1   
expectedValue          2    
