Metric                 Value   
---------------------  --------
startingCapital        100     
finalCapital           103     
profit                 3       
profitPct              3       
growth                 1       
totalTrades            1       
barCount               37      
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             5       
expectency             1       
rmultipleStdDev        0       
systemQuality          NaN     
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  3       
numWinningTrades       1       
numLosingTrades        0       
averageWinningTrade    13      
averageLosingTrade     0       
expectedValue          13      
