Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           70   
profit                 -30  
profitPct              -30  
growth                 1    
totalTrades            7    
barCount               12   
maxDrawdown            -30  
maxDrawdownPct         -30  
maxRiskPct             5    
expectency             -1   
rmultipleStdDev        0    
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -4   
numWinningTrades       0    
numLosingTrades        7    
averageWinningTrade    0    
averageLosingTrade     -1   
expectedValue          -1   
