Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           129  
profit                 29   
profitPct              29   
growth                 1    
totalTrades            4    
barCount               22   
maxDrawdown            -10  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             2    
rmultipleStdDev        6    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      25   
returnOnAccount        3    
averageProfitPerTrade  7    
numWinningTrades       1    
numLosingTrades        3    
averageWinningTrade    9    
averageLosingTrade     -3   
expectedValue          0    
