Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           151  
profit                 51   
profitPct              51   
growth                 2    
totalTrades            3    
barCount               19   
maxDrawdown            -10  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             4    
rmultipleStdDev        8    
systemQuality          0    
profitFactor           5    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        5    
averageProfitPerTrade  17   
numWinningTrades       1    
numLosingTrades        2    
averageWinningTrade    8    
averageLosingTrade     -1   
expectedValue          2    
