Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           125  
profit                 25   
profitPct              25   
growth                 1    
totalTrades            7    
barCount               28   
maxDrawdown            -21  
maxDrawdownPct         -14  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        6    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      14   
returnOnAccount        2    
averageProfitPerTrade  4    
numWinningTrades       1    
numLosingTrades        6    
averageWinningTrade    8    
averageLosingTrade     -2   
expectedValue          0    
