Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           1735 
profit                 1021 
profitPct              143  
growth                 2    
totalTrades            7    
barCount               40   
maxDrawdown            -102 
maxDrawdownPct         -14  
maxRiskPct             5    
expectency             3    
rmultipleStdDev        7    
systemQuality          0    
profitFactor           8    
proportionProfitable   0    
percentProfitable      43   
returnOnAccount        10   
averageProfitPerTrade  146  
numWinningTrades       3    
numLosingTrades        4    
averageWinningTrade    51   
averageLosingTrade     -5   
expectedValue          19   
