Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           436  
profit                 -189 
profitPct              -30  
growth                 1    
totalTrades            7    
barCount               8    
maxDrawdown            -189 
maxDrawdownPct         -30  
maxRiskPct             5    
expectency             -1   
rmultipleStdDev        0    
systemQuality          NaN  
profitFactor           0    
proportionProfitable   0    
percentProfitable      0    
returnOnAccount        -1   
averageProfitPerTrade  -27  
numWinningTrades       0    
numLosingTrades        7    
averageWinningTrade    0    
averageLosingTrade     -2   
expectedValue          -2   
