Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           79   
profit                 -21  
profitPct              -21  
growth                 1    
totalTrades            11   
barCount               63   
maxDrawdown            -28  
maxDrawdownPct         -26  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           0    
proportionProfitable   0    
percentProfitable      18   
returnOnAccount        -1   
averageProfitPerTrade  -2   
numWinningTrades       2    
numLosingTrades        9    
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
