Metric                 Value
---------------------  -----
startingCapital        500  
finalCapital           556  
profit                 56   
profitPct              11   
growth                 1    
totalTrades            10   
barCount               33   
maxDrawdown            -27  
maxDrawdownPct         -5   
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      70   
returnOnAccount        2    
averageProfitPerTrade  6    
numWinningTrades       7    
numLosingTrades        3    
averageWinningTrade    5    
averageLosingTrade     -5   
expectedValue          2    
