direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2020/06/22,47.17,2020/06/24,44.8115,-2.3584999999999994,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,1,stop-loss,44.8115,,
long,2020/06/26,45.55,2020/06/29,43.272499999999994,-2.2775000000000034,-5.000000000000008,0.95,5.000000000000008,,-1,0,stop-loss,43.272499999999994,,
long,2020/07/01,45.37,2020/07/07,43.101499999999994,-2.268500000000003,-5.000000000000007,0.95,5.000000000000007,,-1,2,stop-loss,43.101499999999994,,
long,2020/07/09,42.59,2020/07/10,40.4605,-2.1295,-5,0.95,5,,-1,0,stop-loss,40.4605,,
long,2020/07/14,40.5,2020/07/30,44.16,3.6599999999999966,9.037037037037027,1.0903703703703702,4.9999999999999964,,1.807407407407407,11,exit-rule,38.475,,
long,2020/08/05,44.86,2020/08/07,44.85,-0.00999999999999801,-0.022291573785104792,0.999777084262149,5.000000000000004,,-0.004458314757020954,1,exit-rule,42.617,,
long,2020/08/21,42.94,2020/08/25,46,3.0600000000000023,7.126222636236615,1.0712622263623661,4.9999999999999964,,1.425244527247324,1,exit-rule,40.793,,
long,2020/09/01,45.5,2020/09/03,46.19,0.6899999999999977,1.5164835164835113,1.015164835164835,4.9999999999999964,,0.3032967032967025,1,exit-rule,43.225,,
long,2020/09/10,46.17,2020/09/15,46.5,0.3299999999999983,0.7147498375568514,1.0071474983755686,5.000000000000004,,0.14294996751137015,2,exit-rule,43.8615,,
long,2020/09/22,45.97,2020/09/23,43.6715,-2.298499999999997,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,0,stop-loss,43.6715,,
long,2020/09/25,41.79,2020/10/05,45.97,4.18,10.002392916965782,1.1000239291696579,5.000000000000003,,2.0004785833931553,5,exit-rule,39.7005,,
long,2020/10/27,46.38,2020/10/28,44.061,-2.3190000000000026,-5.000000000000005,0.95,5.000000000000005,,-1,0,stop-loss,44.061,,
long,2020/12/18,70.6,2020/12/24,72.01,1.4100000000000108,1.9971671388102137,1.0199716713881022,5.000000000000003,,0.3994334277620426,4,finalize,67.07,,
