Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           135  
profit                 35   
profitPct              35   
growth                 1    
totalTrades            10   
barCount               27   
maxDrawdown            -19  
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           3    
proportionProfitable   1    
percentProfitable      60   
returnOnAccount        2    
averageProfitPerTrade  3    
numWinningTrades       6    
numLosingTrades        4    
averageWinningTrade    7    
averageLosingTrade     -3   
expectedValue          3    
