direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget,entry,open,high,low,close,volume,time,longTermDirection,upTrendCounter,downTrendCounter,longSma,shortSma,longEma,shortEma,rsi
1,2020/02/26,64.94,2020/02/27,61.693,-3.247,-5,0.95,5,,-1,0,stop-loss,61.693,,,[object Object],5.75,5.95,5.66,5.8,2225820,2020-02-19T00:00:00.000Z,1,4,0,6.346333333333334,5.594285714285713,28.742513075307944,5.70710878372074,37.93103448275862
1,2020/03/02,64.28,2020/03/06,61.066,-3.2139999999999986,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,3,stop-loss,61.066,,,[object Object],3.37,3.38,3,3.2,1876297,2020-03-10T00:00:00.000Z,1,0,11,5.069999999999999,3.6957142857142853,13.771609860994213,3.6699374822980313,18.89952153110049
1,2020/03/10,59.21,2020/03/11,56.2495,-2.9605000000000032,-5.000000000000005,0.95,5.000000000000005,,-1,0,stop-loss,56.2495,,,[object Object],2.75,2.83,2.5,2.83,1540841,2020-03-13T00:00:00.000Z,1,0,14,4.689000000000001,3.172857142857143,11.76934553723567,3.126692375344482,17.43341404358354
1,2020/03/13,52.5,2020/03/16,49.875,-2.625,-5,0.95,5,,-1,0,stop-loss,49.875,,,[object Object],2.93,3.25,2.88,3.23,1873810,2020-04-12T23:00:00.000Z,1,5,0,3.0126666666666666,2.892857142857143,5.21146595733187,2.963081214878245,63.05732484076433
1,2020/03/18,43.69,2020/04/09,56.32,12.630000000000003,28.90821698329138,1.2890821698329138,5,,5.781643396658276,15,exit-rule,41.5055,,,[object Object],3.4,3.59,3.34,3.55,1205931,2020-04-16T23:00:00.000Z,1,9,0,2.9390000000000005,3.2471428571428573,4.788218561102176,3.26995929064507,58.45070422535211
1,2020/09/09,101.77,2020/09/16,106.03,4.260000000000005,4.185909403557045,1.0418590940355705,4.9999999999999964,,0.8371818807114098,4,exit-rule,96.6815,,,[object Object],5.8,5.8,5.33,5.5,1823241,2020-06-11T23:00:00.000Z,1,6,0,4.9399999999999995,6.137142857142856,5.181435321003564,5.787870763944033,59.18367346938775
1,2020/09/18,104.44,2020/09/22,105.76,1.3200000000000074,1.2638835695136035,1.0126388356951361,4.999999999999995,,0.25277671390272094,1,exit-rule,99.218,,,[object Object],7.33,7.68,6.82,7.6,5001300,2020-07-13T23:00:00.000Z,1,4,0,6.065666666666668,7.112857142857143,6.074613446968108,7.126294358281216,59.856630824372765
1,2020/09/24,101.26,2020/09/28,108.74,7.47999999999999,7.38692474817301,1.0738692474817302,5.000000000000003,,1.4773849496346012,1,exit-rule,96.197,,,[object Object],17.55,17.7,16.23,17.1,7132867,2020-08-05T23:00:00.000Z,1,4,0,9.429,15.854285714285712,10.755017939083476,15.712541462223419,71.05380168963984
-1,2020/11/02,112.15,2020/11/05,122.53,10.379999999999995,9.255461435577347,1.0925546143557734,5.000000000000001,,1.851092287115469,2,exit-rule,106.5425,,,[object Object],9.41,9.45,8.8,9.06,6688552,2020-08-26T23:00:00.000Z,-1,0,14,12.57366666666667,10.258571428571429,11.52909652190577,10.42839313473095,12.664714494875525
1,2020/11/11,115.35,2020/11/13,119.51,4.160000000000011,3.606415257910716,1.0360641525791072,4.999999999999999,,0.7212830515821433,1,exit-rule,109.5825,,,[object Object],8.14,8.17,7.65,8.08,3320140,2020-09-30T23:00:00.000Z,1,4,0,8.661,7.765714285714286,8.797243147596701,7.940994066033869,48.07692307692308
