Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           181  
profit                 81   
profitPct              81   
growth                 2    
totalTrades            27   
barCount               67   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   0    
percentProfitable      44   
returnOnAccount        4    
averageProfitPerTrade  3    
numWinningTrades       12   
numLosingTrades        15   
averageWinningTrade    15   
averageLosingTrade     -8   
expectedValue          2    
