Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           502  
profit                 -212 
profitPct              -30  
growth                 1    
totalTrades            24   
barCount               44   
maxDrawdown            -315 
maxDrawdownPct         -44  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        -1   
averageProfitPerTrade  -9   
numWinningTrades       8    
numLosingTrades        16   
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          0    
