Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           169  
profit                 69   
profitPct              69   
growth                 2    
totalTrades            21   
barCount               66   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        3    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      33   
returnOnAccount        3    
averageProfitPerTrade  3    
numWinningTrades       7    
numLosingTrades        14   
averageWinningTrade    7    
averageLosingTrade     -3   
expectedValue          1    
