Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           125  
profit                 25   
profitPct              25   
growth                 1    
totalTrades            24   
barCount               46   
maxDrawdown            -30  
maxDrawdownPct         -25  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      42   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       10   
numLosingTrades        14   
averageWinningTrade    1    
averageLosingTrade     0    
expectedValue          0    
