Metric                 Value   
---------------------  --------
startingCapital        500     
finalCapital           634     
profit                 134     
profitPct              27      
growth                 1       
totalTrades            6       
barCount               27      
maxDrawdown            0       
maxDrawdownPct         0       
maxRiskPct             5       
expectency             1       
rmultipleStdDev        1       
systemQuality          2       
profitFactor           NaN     
proportionProfitable   1       
percentProfitable      100     
returnOnAccount        Infinity
averageProfitPerTrade  22      
numWinningTrades       6       
numLosingTrades        0       
averageWinningTrade    3       
averageLosingTrade     0       
expectedValue          3       
