Metric                 Value
---------------------  -----
startingCapital        5000 
finalCapital           3360 
profit                 -1640
profitPct              -33  
growth                 1    
totalTrades            16   
barCount               34   
maxDrawdown            -2159
maxDrawdownPct         -40  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           0    
proportionProfitable   0    
percentProfitable      19   
returnOnAccount        -1   
averageProfitPerTrade  -103 
numWinningTrades       3    
numLosingTrades        13   
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
