Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           143  
profit                 43   
profitPct              43   
growth                 1    
totalTrades            15   
barCount               57   
maxDrawdown            -23  
maxDrawdownPct         -23  
maxRiskPct             5    
expectency             1    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      53   
returnOnAccount        2    
averageProfitPerTrade  3    
numWinningTrades       8    
numLosingTrades        7    
averageWinningTrade    20   
averageLosingTrade     -9   
expectedValue          6    
