Metric                 Value
---------------------  -----
startingCapital        625  
finalCapital           598  
profit                 -27  
profitPct              -4   
growth                 1    
totalTrades            13   
barCount               19   
maxDrawdown            -126 
maxDrawdownPct         -19  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      31   
returnOnAccount        0    
averageProfitPerTrade  -2   
numWinningTrades       4    
numLosingTrades        9    
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          0    
