Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           113  
profit                 13   
profitPct              13   
growth                 1    
totalTrades            14   
barCount               64   
maxDrawdown            -7   
maxDrawdownPct         -6   
maxRiskPct             5    
expectency             0    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      64   
returnOnAccount        2    
averageProfitPerTrade  1    
numWinningTrades       9    
numLosingTrades        5    
averageWinningTrade    4    
averageLosingTrade     -4   
expectedValue          1    
