Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           126  
profit                 26   
profitPct              26   
growth                 1    
totalTrades            10   
barCount               32   
maxDrawdown            -8   
maxDrawdownPct         -8   
maxRiskPct             5    
expectency             1    
rmultipleStdDev        1    
systemQuality          0    
profitFactor           4    
proportionProfitable   1    
percentProfitable      70   
returnOnAccount        3    
averageProfitPerTrade  3    
numWinningTrades       7    
numLosingTrades        3    
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          1    
