Metric                 Value
---------------------  -----
startingCapital        100  
finalCapital           125  
profit                 25   
profitPct              25   
growth                 1    
totalTrades            28   
barCount               69   
maxDrawdown            -41  
maxDrawdownPct         -37  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           1    
proportionProfitable   0    
percentProfitable      36   
returnOnAccount        1    
averageProfitPerTrade  1    
numWinningTrades       10   
numLosingTrades        18   
averageWinningTrade    0    
averageLosingTrade     0    
expectedValue          0    
