Metric                 Value
---------------------  -----
startingCapital        714  
finalCapital           780  
profit                 66   
profitPct              9    
growth                 1    
totalTrades            6    
barCount               44   
maxDrawdown            -78  
maxDrawdownPct         -10  
maxRiskPct             5    
expectency             0    
rmultipleStdDev        2    
systemQuality          0    
profitFactor           2    
proportionProfitable   1    
percentProfitable      50   
returnOnAccount        1    
averageProfitPerTrade  11   
numWinningTrades       3    
numLosingTrades        3    
averageWinningTrade    1    
averageLosingTrade     -1   
expectedValue          0    
